Token    ST_pos
###   -1=-1
int   -1=-1
n   14=0
;   -1=-1
read   -1=-1
(   -1=-1
n   14=0
)   -1=-1
;   -1=-1
int   -1=-1
[   -1=-1
n   14=0
]   -1=-1
myArray   5=0
;   -1=-1
for   -1=-1
(   -1=-1
i   9=0
=   -1=-1
0   0=0
;   -1=-1
i   9=0
<   -1=-1
n   14=0
;   -1=-1
i   9=0
=   -1=-1
i   9=0
+   -1=-1
1   1=0
)   -1=-1
{   -1=-1
read   -1=-1
(   -1=-1
myArray   5=0
[   -1=-1
i   9=0
]   -1=-1
)   -1=-1
}   -1=-1
for   -1=-1
(   -1=-1
i   9=0
=   -1=-1
0   0=0
;   -1=-1
i   9=0
<   -1=-1
n   14=0
-   -1=-1
1   1=0
;   -1=-1
i   9=0
=   -1=-1
i   9=0
+   -1=-1
1   1=0
)   -1=-1
{   -1=-1
for   -1=-1
(   -1=-1
j   10=0
=   -1=-1
i   9=0
+   -1=-1
1   1=0
;   -1=-1
j   10=0
<   -1=-1
n   14=0
;   -1=-1
j   10=0
=   -1=-1
j   10=0
+   -1=-1
1   1=0
)   -1=-1
{   -1=-1
if   -1=-1
(   -1=-1
myArray   5=0
[   -1=-1
i   9=0
]   -1=-1
>   -1=-1
myArray   5=0
[   -1=-1
j   10=0
]   -1=-1
)   -1=-1
{   -1=-1
int   -1=-1
placeholder   3=0
=   -1=-1
myArray   5=0
[   -1=-1
j   10=0
]   -1=-1
;   -1=-1
myArray   5=0
[   -1=-1
j   10=0
]   -1=-1
=   -1=-1
myArray   5=0
[   -1=-1
i   9=0
]   -1=-1
;   -1=-1
myArray   5=0
[   -1=-1
i   9=0
]   -1=-1
=   -1=-1
placeholder   3=0
;   -1=-1
}   -1=-1
}   -1=-1
}   -1=-1
###   -1=-1
